feature,importance
f0_median,0.21899560258314632
mfcc_05_mean,0.12642504372649818
mfcc_07_mean,0.0484991269667062
f0_p90,0.041990444624854316
f0_p10,0.04027422918078447
f1_median,0.037974268380265346
mfcc_12_mean,0.03567499375557723
mfcc_04_mean,0.021500993968690072
mfcc_05_std,0.0210360050305051
mfcc_04_std,0.020474641435125642
mfcc_10_mean,0.019555355049616936
mfcc_08_mean,0.019046456754733432
mfcc_02_std,0.01895220022754946
mfcc_03_mean,0.01576157013888101
mfcc_01_std,0.014768792831055602
f0_iqr,0.014630083950293325
mfcc_12_std,0.013315752361135419
mfcc_02_mean,0.012215251758989784
f3_median,0.011306825464156062
zcr_std,0.01077083718471058
mfcc_13_std,0.009682108225265537
mfcc_07_std,0.00953739229250036
spectral_centroid_std,0.009440853560709882
mfcc_03_std,0.00935255475902352
f2_minus_f1_median,0.009250724425216447
f3_minus_f2_median,0.009227762148570675
spectral_bandwidth_mean,0.008854419448443706
mfcc_06_mean,0.008780419952504542
f2_median,0.008286879545032724
mfcc_10_std,0.008243433939009373
mfcc_08_std,0.008136523017969454
mfcc_01_mean,0.008081143981426614
spectral_rolloff_std,0.008059548750550446
mfcc_11_mean,0.007744523951626642
zcr_mean,0.007708586771592147
log_spectral_energy_std,0.007617959711041155
mfcc_06_std,0.0074458946762758944
log_spectral_energy_mean,0.007385112758437638
voiced_ratio,0.007362228826524926
mfcc_09_mean,0.007302062302922087
spectral_bandwidth_std,0.0069605009922383025
rms_energy_mean,0.006815277821537167
spectral_energy_mean,0.006666830007381913
mfcc_13_mean,0.006606215023559805
mfcc_09_std,0.0065509979914748955
mfcc_11_std,0.006411585592179964
spectral_centroid_mean,0.00608402075435701
formant_dispersion,0.0059822730560211874
spectral_rolloff_mean,0.005903456421446254
spectral_energy_std,0.0058042933577633305
rms_energy_std,0.005545940564121707
