feature,mean,scale
f0_median,181.51210093901383,62.34399696630677
f0_iqr,61.806617480705896,53.19547460395191
f0_p10,126.91973412887387,42.836064197379315
f0_p90,312.8745697950071,126.67946710088873
voiced_ratio,0.9419441944194418,0.06706859149541473
f1_median,623.1747607769042,259.7295657231277
f2_median,2142.156346191054,351.9888622737708
f3_median,3501.4593599374293,368.0080585952327
f2_minus_f1_median,1423.185266175346,293.8651853757916
f3_minus_f2_median,1343.0957611807378,239.0446187071304
formant_dispersion,1380.7680890277554,153.16180266946606
mfcc_01_mean,-379.44803935660946,50.23047879617086
mfcc_01_std,88.93874014695366,27.550731309793935
mfcc_02_mean,99.27635257254852,32.7728176203282
mfcc_02_std,54.008323616640546,16.507191867111093
mfcc_03_mean,10.070405648142632,19.335028643958825
mfcc_03_std,30.271501790982978,7.7298949406060835
mfcc_04_mean,21.47045481369685,18.32290115359581
mfcc_04_std,26.47587880074768,6.696753015510271
mfcc_05_mean,-5.132760413496829,14.611727513428713
mfcc_05_std,20.657951410178573,5.103970628440804
mfcc_06_mean,-3.9887242083859187,11.185883639495344
mfcc_06_std,16.309242403754972,3.5219425363383814
mfcc_07_mean,-10.37603548206867,10.857684223096516
mfcc_07_std,14.972666149428035,3.0768048076988617
mfcc_08_mean,-8.907718476373697,9.5493882597173
mfcc_08_std,14.279136463401121,2.93942921453518
mfcc_09_mean,-10.966744932591572,8.670699868228244
mfcc_09_std,13.023852816182039,2.7533016544855333
mfcc_10_mean,-8.2511415786607,9.275349245356164
mfcc_10_std,12.656894876130249,2.5732127141035295
mfcc_11_mean,-8.553467493042055,7.63786926065712
mfcc_11_std,11.579568994896738,2.3026477116919013
mfcc_12_mean,-5.506091694079786,8.212615560297545
mfcc_12_std,11.292477546750685,2.3910356455690125
mfcc_13_mean,-7.0695407799183645,6.883966818190391
mfcc_13_std,10.784691479986998,2.406630417228575
spectral_centroid_mean,1624.4420531148985,484.6357408806293
spectral_centroid_std,978.6899429751086,377.55147119681084
spectral_bandwidth_mean,1534.431124050445,249.05763869539172
spectral_bandwidth_std,432.3709415781146,96.7498585144787
spectral_rolloff_mean,2990.9578155396184,868.6414369208898
spectral_rolloff_std,1695.6523042671988,422.07135174186544
zcr_mean,0.12879776284080022,0.05880987981697013
zcr_std,0.12530593035530843,0.06423103439182565
rms_energy_mean,0.08807952543176283,0.02239854317058168
rms_energy_std,0.06124130069769102,0.017790494641254942
spectral_energy_mean,474.7953456099188,206.45176705698893
spectral_energy_std,587.847222862323,328.53620809077063
log_spectral_energy_mean,4.617882901892808,1.128111165094483
log_spectral_energy_std,2.2787470094346105,0.9761348685561448
